id;accountId;card_number;mcc;merchant_name;constant_symbol;specific_symbol;variable_symbol;exchange_rate;foreign_amount;foreign_currency;booking_date;category_id;direction;party_acount_number;party_bank_code;party_prefix;party_description;payee_message;payer_message;transaction_fee;transaction_fee_canceled;transaction_type;user_description;amount;currency;value_date
1;6666;3542658921352648;3560;Billa;;;;;;;2018-03-11 22:08:21;111;OUTGOING;;;;;;;;;CARD;;1521;CZK;2018-03-12 07:29:57
2;6666;3542658921352648;4567;McDonalds;0;0;0;;;;2018-10-06 19:55:20;0;INGOING;654651579612;0600;00000865;Im Lovin It;vyplata;;;;PAYMENT_HOME;Muj zamestanavatel;15325;CZK;2018-10-07 17:45:44
3;6666;;;;0;0;20190125;;;;2018-12-31 00:26:57;0;OUTGOING;770418267290;3030;00000000;Vodafone;0;predrazeny tarif;;;;Muj operator;500;CZK;2018-12-31 12:26:57
4;6666;3542658921352648;3181;Sportisimo;;;;;;;2018-03-07 16:51:48;0;OUTGOING;;;;;;;;;CARD;;899;CZK;2018-03-09 09:39:48
5;6666;;;;0;5387662130;0;;;;2018-10-24 13:39:49;0;INGOING;162978789688;2700;00000000;0;splatka dluhu;;;;PAYMENT_HOME;;4200;CZK;2018-10-25 10:32:37
6;6666;4562356984521568;6821;Alza;;;;;;;2018-04-02 11:06:54;126;OUTGOING;;;;;;;;;CARD;;4099;CZK;2018-04-04 07:59:42
7;6666;;;;4482;0;927335598;;;;2018-05-22 06:25:02;0;OUTGOING;945171781792;0200;00000014;0;0;najem;;;OTHER;Muj landlord;2500;CZK;2018-05-25 01:08:14
8;6666;;;;3347;0;4848218390;;;;2019-02-07 09:58:12;0;OUTGOING;597175768639;2700;00236541;;;jen tak posilam prachy random osobe;;;;random osoba;90;CZK;2019-02-08 20:03:00
9;6666;4562356984521568;7277;Burgrarna;;;;;;;2018-10-23 01:43:42;0;OUTGOING;;;;;;;;;CARD;;249;CZK;2018-10-25 04:22:06
10;6666;4562356984521568;5968;Netflix;0;0;0;;;;2018-03-16 15:58:26;118;OUTGOING;;;;;0;0;;;CARD;;230;CZK;2018-03-17 16:56:02
11;6666;4562356984521568;4899;Spotify;0;0;0;;;;2019-02-15 21:43:19;118;OUTGOING;;;;0;;;;;CARD;;70;CZK;2019-02-18 17:24:07
12;6666;;;;6771;0;4457394676;;;;2018-05-24 01:31:58;0;INGOING;191816107239;0800;00000000;0;pivo patek;;;;PAYMENT_HOME;amigo;262;CZK;2018-05-25 11:36:46
13;6666;4562356984521568;3560;Billa;;;;;;;2018-11-28 13:26:16;0;OUTGOING;;;;;;;;;CARD;;1892;CZK;2018-11-30 11:59:52
14;6666;;;;0;6484975897;0;;;;2018-09-26 07:26:21;0;INGOING;528827605187;0800;12549856;0;0;0;;;PAYMENT_HOME;;83;CZK;2018-09-28 03:07:09
15;6666;3542658921352648;3110;Regiojet;;;;;;;2018-07-23 16:01:17;119;OUTGOING;;;;Regiojet CZ;;;;;CARD;;157;CZK;2018-07-26 10:15:41
16;6666;;;;0;0;5135551790;;;;2018-03-11 06:42:10;0;OUTGOING;254017692190;0100;00000000;;;;;;;;515;CZK;2018-03-12 02:08:34
17;6666;;;;3317;0;777;;;;2018-08-20 18:38:38;0;INGOING;451356622949;0800;00000000;;za listek do kina;;;;PAYMENT_HOME;kamoska;130;CZK;2018-08-21 01:21:50
18;6666;3542658921352648;4955;Steam Store;;;;;;;2019-01-05 14:54:42;0;OUTGOING;;;;;0;0;;;CARD;;1963;CZK;2019-01-06 14:54:42
19;6666;4562356984521568;2358;Bio Central;;;;;;;2018-04-07 08:02:19;124;OUTGOING;;;;;;;;;CARD;;260;CZK;2018-04-08 00:50:19
20;6666;4562356984521568;4449;Kafekara;;;;;;;2018-06-03 08:28:58;115;OUTGOING;;;;;;;;;CARD;;55;CZK;2018-06-04 08:00:10
